"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"19-Jun-2024","EQ","489.40","491.20","476.50","489.05","479.50","477.95","480.99","527.40","223.25","89,62,510","4,31,08,74,663.65","1,26,276"
"18-Jun-2024","EQ","492.00","492.90","485.20","486.95","489.40","489.05","488.59","527.40","223.25","69,46,544","3,39,40,43,640.95","1,00,108"
"14-Jun-2024","EQ","487.90","492.40","485.25","487.90","487.50","486.95","488.03","527.40","223.25","59,74,636","2,91,58,27,137.45","75,705"
"13-Jun-2024","EQ","493.90","493.90","483.50","488.70","487.15","487.90","486.99","527.40","223.25","74,38,571","3,62,25,24,555.25","1,05,315"
"12-Jun-2024","EQ","481.00","494.30","479.35","476.35","489.60","488.70","489.24","527.40","223.25","1,54,12,796","7,54,05,51,834.55","1,63,845"
"11-Jun-2024","EQ","482.00","483.50","475.20","477.70","477.35","476.35","479.08","527.40","223.25","1,11,69,021","5,35,09,04,100.00","87,205"
"10-Jun-2024","EQ","485.00","488.00","475.50","479.15","477.45","477.70","482.07","527.40","223.25","1,09,58,537","5,28,28,21,416.95","1,33,266"
"07-Jun-2024","EQ","473.00","481.30","467.60","472.95","479.00","479.15","475.56","527.40","223.25","83,17,343","3,95,54,18,120.75","1,24,317"
"06-Jun-2024","EQ","470.00","484.40","464.65","460.55","473.95","472.95","474.94","527.40","223.25","2,17,57,857","10,33,35,90,084.40","3,39,834"
"05-Jun-2024","EQ","452.00","462.85","425.10","441.90","460.00","460.55","446.77","527.40","223.25","1,89,66,089","8,47,35,03,030.60","2,79,243"
"04-Jun-2024","EQ","512.35","512.40","410.80","512.35","443.00","441.90","452.44","527.40","223.25","4,80,46,493","21,73,81,11,649.60","6,01,325"
"03-Jun-2024","EQ","515.00","527.40","505.55","491.20","512.50","512.35","515.31","527.40","223.25","2,44,16,215","12,58,19,72,098.45","2,51,136"
"31-May-2024","EQ","484.40","493.10","479.00","482.15","492.00","491.20","487.81","507.35","223.25","1,12,23,848","5,47,50,82,324.95","1,26,726"
"30-May-2024","EQ","486.00","487.95","479.50","486.45","484.40","482.15","483.47","507.35","223.25","77,25,080","3,73,48,72,629.20","1,40,611"
"29-May-2024","EQ","482.10","491.90","482.10","487.65","486.10","486.45","487.71","507.35","223.25","80,14,727","3,90,88,93,223.60","1,09,148"
"28-May-2024","EQ","496.00","496.20","484.10","494.45","486.90","487.65","489.74","507.35","223.25","81,65,238","3,99,88,32,036.90","1,38,577"
"27-May-2024","EQ","502.95","503.00","490.75","501.00","494.75","494.45","495.23","507.35","223.25","88,11,105","4,36,35,00,836.90","1,29,283"
"24-May-2024","EQ","495.95","505.40","489.15","497.30","500.15","501.00","498.51","507.35","223.25","1,21,90,536","6,07,71,62,733.05","1,26,425"
"23-May-2024","EQ","503.40","503.80","492.10","501.70","497.00","497.30","496.66","507.35","223.25","1,43,78,840","7,14,14,26,233.40","1,54,445"
"22-May-2024","EQ","494.50","507.35","491.60","490.65","501.85","501.70","501.51","507.35","223.25","2,83,46,931","14,21,63,09,754.60","2,48,929"
"21-May-2024","EQ","469.70","493.90","469.70","469.70","490.80","490.65","487.23","493.90","223.25","2,73,56,982","13,32,91,38,800.70","2,52,831"
"18-May-2024","EQ","472.90","473.00","468.55","470.25","469.45","469.70","471.07","487.60","223.25","9,86,166","46,45,57,046.55","13,074"
"17-May-2024","EQ","469.05","473.70","466.80","468.30","469.90","470.25","470.69","487.60","223.25","1,06,25,019","5,00,11,38,144.75","1,06,493"
"16-May-2024","EQ","468.65","475.00","457.85","467.85","467.25","468.30","466.86","487.60","223.25","1,72,32,651","8,04,52,67,038.45","2,16,546"
"15-May-2024","EQ","450.00","470.00","449.50","448.70","467.50","467.85","462.95","487.60","223.25","2,35,43,942","10,89,95,98,029.15","2,02,401"
"14-May-2024","EQ","446.70","450.65","445.10","444.00","448.50","448.70","448.53","487.60","223.25","65,92,194","2,95,68,14,310.80","1,14,394"
"13-May-2024","EQ","451.25","451.80","434.70","449.40","444.25","444.00","441.94","487.60","223.25","1,11,07,909","4,90,90,74,941.30","1,47,904"
"10-May-2024","EQ","447.20","451.15","440.25","443.50","448.95","449.40","447.35","487.60","223.25","91,90,621","4,11,14,58,570.30","1,17,407"
"09-May-2024","EQ","465.35","467.70","441.35","464.45","444.00","443.50","449.82","487.60","223.25","1,56,01,338","7,01,78,59,402.45","2,02,870"
"08-May-2024","EQ","456.70","471.40","455.10","456.00","465.55","464.45","465.50","487.60","223.25","1,69,78,094","7,90,32,70,982.85","1,53,014"
"07-May-2024","EQ","463.00","469.50","452.85","460.60","455.65","456.00","460.88","487.60","223.25","1,37,28,379","6,32,70,78,570.80","1,39,423"
"06-May-2024","EQ","479.00","481.45","444.05","474.60","460.05","460.60","463.24","487.60","223.25","3,64,08,390","16,86,57,36,623.65","3,16,575"
"03-May-2024","EQ","457.90","475.80","449.40","453.90","475.50","474.60","466.42","487.60","223.25","5,10,71,947","23,82,07,23,099.30","3,71,497"
"02-May-2024","EQ","457.55","459.55","449.40","454.30","452.00","453.90","454.89","487.60","223.25","1,49,80,896","6,81,46,85,447.25","1,94,918"
"30-Apr-2024","EQ","456.40","458.40","452.05","453.25","453.90","454.30","455.52","487.60","223.25","60,21,793","2,74,30,52,899.25","97,351"
"29-Apr-2024","EQ","458.70","458.70","450.55","455.80","453.75","453.25","453.74","487.60","223.25","53,05,655","2,40,73,73,301.20","75,447"
"26-Apr-2024","EQ","454.00","460.45","452.20","452.45","455.15","455.80","455.80","487.60","223.25","72,09,435","3,28,60,37,444.80","88,961"
"25-Apr-2024","EQ","443.00","454.00","441.75","443.85","452.90","452.45","449.21","487.60","223.25","1,08,58,594","4,87,77,92,751.30","1,50,242"
"24-Apr-2024","EQ","441.55","448.70","441.15","440.95","444.20","443.85","445.04","487.60","223.25","65,38,090","2,90,97,05,433.45","82,453"
"23-Apr-2024","EQ","445.75","445.75","439.25","442.95","441.50","440.95","441.83","487.60","223.25","53,90,120","2,38,15,06,621.90","90,595"
"22-Apr-2024","EQ","440.90","444.50","438.00","435.30","444.00","442.95","442.19","487.60","223.25","63,96,926","2,82,86,29,313.65","75,525"
"19-Apr-2024","EQ","436.00","438.60","428.05","438.60","435.75","435.30","434.65","487.60","223.25","76,28,287","3,31,55,98,105.05","1,11,249"
"18-Apr-2024","EQ","454.95","456.80","435.15","453.20","442.00","438.60","447.13","487.60","223.25","1,09,45,138","4,89,39,27,155.45","1,80,502"
"16-Apr-2024","EQ","449.00","456.40","446.35","451.00","453.25","453.20","452.68","487.60","223.25","49,96,845","2,26,19,53,386.90","72,585"
"15-Apr-2024","EQ","448.95","455.80","441.10","455.60","451.40","451.00","449.23","487.60","223.25","76,80,715","3,45,04,14,209.45","1,08,659"
"12-Apr-2024","EQ","455.00","463.45","452.55","456.35","456.30","455.60","458.61","487.60","221.15","1,12,59,294","5,16,36,13,445.50","1,26,431"
"10-Apr-2024","EQ","442.55","458.60","442.10","439.85","455.50","456.35","452.40","487.60","221.15","1,58,25,331","7,15,93,72,162.80","1,52,800"
"09-Apr-2024","EQ","448.70","450.30","437.25","447.40","440.60","439.85","441.94","487.60","221.15","80,05,012","3,53,77,35,852.60","97,059"
"08-Apr-2024","EQ","449.00","450.45","444.55","446.95","447.00","447.40","447.40","487.60","221.15","39,80,972","1,78,10,89,273.75","65,728"
"05-Apr-2024","EQ","448.75","448.85","444.00","448.85","447.05","446.95","446.86","487.60","213.80","48,20,138","2,15,39,19,586.45","65,669"
"04-Apr-2024","EQ","450.00","453.50","442.55","445.50","450.00","448.85","448.55","487.60","213.80","1,47,43,020","6,61,29,44,787.55","1,82,305"
"03-Apr-2024","EQ","443.20","447.00","440.90","443.20","446.20","445.50","445.39","487.60","213.80","69,72,648","3,10,55,41,661.45","85,482"
"02-Apr-2024","EQ","442.05","448.30","436.05","442.05","443.40","443.20","442.10","487.60","213.80","1,15,30,800","5,09,77,42,466.30","1,04,673"
"01-Apr-2024","EQ","436.70","443.80","434.80","434.10","442.00","442.05","440.74","487.60","213.80","72,56,592","3,19,82,36,923.80","82,433"
"28-Mar-2024","EQ","430.00","438.45","430.00","429.45","433.95","434.10","434.51","487.60","207.60","1,03,32,853","4,48,97,28,594.25","1,13,800"
"27-Mar-2024","EQ","439.80","439.80","426.05","435.95","431.50","429.45","431.69","487.60","207.60","1,79,85,246","7,76,39,78,161.80","1,33,365"
"26-Mar-2024","EQ","433.80","440.95","430.90","431.95","435.75","435.95","437.01","487.60","207.60","93,89,403","4,10,32,82,216.35","1,31,771"
"22-Mar-2024","EQ","430.90","436.20","428.30","432.05","432.20","431.95","432.33","487.60","207.60","91,72,888","3,96,57,51,605.10","1,18,348"
"21-Mar-2024","EQ","424.00","433.55","423.15","419.50","432.45","432.05","429.47","487.60","207.60","99,11,230","4,25,65,71,231.75","1,20,158"
"20-Mar-2024","EQ","419.80","422.80","412.70","419.05","420.00","419.50","418.90","487.60","207.60","69,50,340","2,91,15,13,141.95","90,171"
"19-Mar-2024","EQ","417.00","424.60","414.00","421.85","418.80","419.05","419.01","487.60","207.60","83,73,676","3,50,86,92,924.55","96,776"
"18-Mar-2024","EQ","416.00","423.50","413.55","415.25","422.00","421.85","419.86","487.60","207.60","98,03,914","4,11,62,75,382.05","1,19,353"
"15-Mar-2024","EQ","427.70","428.05","401.20","427.70","415.50","415.25","411.91","487.60","207.60","2,54,35,001","10,47,70,21,846.30","2,31,324"
"14-Mar-2024","EQ","419.00","428.85","412.20","417.05","427.75","427.70","423.21","487.60","207.60","2,04,78,918","8,66,68,46,855.60","2,55,441"
"13-Mar-2024","EQ","449.30","449.90","410.00","449.30","417.85","417.05","425.85","487.60","207.60","1,78,03,423","7,58,15,33,018.10","2,30,916"
"12-Mar-2024","EQ","453.90","455.80","446.70","453.90","449.60","449.30","450.03","487.60","207.60","84,09,613","3,78,45,81,663.65","1,16,045"
"11-Mar-2024","EQ","461.00","462.85","452.40","458.60","452.50","453.90","458.30","487.60","207.60","78,24,738","3,58,60,56,755.40","1,20,998"
